
Rosemary Turkey Meatloaf,https://www.allrecipes.com/recipe/31780/rosemary-turkey-meatloaf/,meat-and-poultry,362.1,47.1,20.9,9.8
Spinach Tortellini Soup,https://www.allrecipes.com/recipe/16332/spinach-tortellini-soup/,soups-stews-and-chili,223.6,33.2,11.5,6.0
Spicy Chicken and Sweet Potato Stew,https://www.allrecipes.com/recipe/149586/spicy-chicken-and-sweet-potato-stew/,soups-stews-and-chili,360.9,44.1,29.1,7.7
Southern Ham and Brown Beans,https://www.allrecipes.com/recipe/40203/southern-ham-and-brown-beans/,soups-stews-and-chili,272.5,37.7,16.7,6.0
Quick Tuna Casserole,https://www.allrecipes.com/recipe/54496/quick-tuna-casserole/,seafood,362.7,46.1,28.1,7.1
Roasted Cherry Tomatoes with Angel Hair,https://www.allrecipes.com/recipe/254874/roasted-cherry-tomatoes-with-angel-hair/,main-dish,287.3,39.8,11.2,10.6
Italian Love Cake,https://www.allrecipes.com/recipe/7998/italian-love-cake/,world-cuisine,348.0,42.9,11.1,15.7
Pasta with Asparagus,https://www.allrecipes.com/recipe/11710/pasta-with-asparagus/,main-dish,280.7,39.4,15.5,8.4
Quick Black Beans and Rice,https://www.allrecipes.com/recipe/13999/quick-black-beans-and-rice/,main-dish,271.4,47.8,10.0,5.3
Winter Leek and Potato Soup,https://www.allrecipes.com/recipe/220779/winter-leek-and-potato-soup/,soups-stews-and-chili,364.1,45.9,11.7,15.4
Slow Cooker Pumpkin Turkey Chili,https://www.allrecipes.com/recipe/228404/slow-cooker-pumpkin-turkey-chili/,soups-stews-and-chili,337.6,41.9,25.1,9.1
Krista's Sticky Honey Garlic Wings,https://www.allrecipes.com/recipe/182107/kristas-sticky-honey-garlic-wings/,world-cuisine,337.0,35.1,19.1,13.4
Quick and Easy Black Bean Soup,https://www.allrecipes.com/recipe/220179/quick-and-easy-black-bean-soup/,soups-stews-and-chili,320.4,43.5,18.8,8.8
Pear and Gorgonzola Cheese Pizza,https://www.allrecipes.com/recipe/26897/pear-and-gorgonzola-cheese-pizza/,main-dish,287.0,31.0,11.6,12.9
Loaded Potato Soup I,https://www.allrecipes.com/recipe/13083/loaded-potato-soup-i/,soups-stews-and-chili,338.3,37.6,10.7,16.6
Scallop Scampi,https://www.allrecipes.com/recipe/17125/scallop-scampi/,seafood,360.5,43.5,21.3,9.3
Taco Pizza,https://www.allrecipes.com/recipe/44410/taco-pizza/,world-cuisine,337.9,32.7,14.8,16.1
Tropical Grilled Pork Chops,https://www.allrecipes.com/recipe/87476/tropical-grilled-pork-chops/,main-dish,268.9,37.1,15.1,7.2
Zucchini Pasta II,https://www.allrecipes.com/recipe/74345/zucchini-pasta-ii/,world-cuisine,321.2,48.2,16.7,6.6
Baked Chicken Schnitzel,https://www.allrecipes.com/recipe/244950/baked-chicken-schnitzel/,meat-and-poultry,382.7,40.2,33.1,9.1
Asian Roll Lettuce Wrap,https://www.allrecipes.com/recipe/32202/asian-roll-lettuce-wrap/,appetizers-and-snacks,368.9,42.8,28.6,9.9
Slow Cooker Pinto Beans,https://www.allrecipes.com/recipe/220822/slow-cooker-pinto-beans/,main-dish,365.6,38.2,23.5,13.5
Pumpkin French Toast Bake,https://www.allrecipes.com/recipe/217955/pumpkin-french-toast-bake/,breakfast-and-brunch,305.4,46.2,11.5,8.5
One Pot Tuna Casserole,https://www.allrecipes.com/recipe/24512/one-pot-tuna-casserole/,seafood,395.4,43.2,17.4,17.0
Turkey Goulash,https://www.allrecipes.com/recipe/18783/turkey-goulash/,soups-stews-and-chili,311.2,46.9,18.3,6.1
Baked Falafel,https://www.allrecipes.com/recipe/183947/baked-falafel/,everyday-cooking,281.1,39.3,11.4,9.3
Justin's Hoosier Daddy Chili,https://www.allrecipes.com/recipe/84475/justins-hoosier-daddy-chili/,soups-stews-and-chili,385.2,46.9,23.9,13.3
German Pork Chops and Sauerkraut,https://www.allrecipes.com/recipe/216330/german-pork-chops-and-sauerkraut/,world-cuisine,362.6,38.6,29.2,10.4
Southwest White Chicken Chili,https://www.allrecipes.com/recipe/216289/southwest-white-chicken-chili/,trusted-brands-recipes-and-tips,322.8,36.6,24.0,9.4
Pesto Pizza,https://www.allrecipes.com/recipe/21528/pesto-pizza/,world-cuisine,393.7,39.3,17.3,19.9
Irish Bacon And Cabbage Soup,https://www.allrecipes.com/recipe/100378/irish-bacon-and-cabbage-soup/,soups-stews-and-chili,276.2,38.4,12.3,8.1
Sweet and Sour Chicken Tenders,https://www.allrecipes.com/recipe/220347/sweet-and-sour-chicken-tenders/,main-dish,382.1,44.3,30.8,8.0
Mini Meatball Subs,https://www.allrecipes.com/recipe/201313/mini-meatball-subs/,appetizers-and-snacks,351.0,32.2,18.0,16.4
Veggie Lasagna Florentine,https://www.allrecipes.com/recipe/11964/veggie-lasagna-florentine/,world-cuisine,374.8,47.3,25.1,11.2
Black Bean and Corn Salad I,https://www.allrecipes.com/recipe/13932/black-bean-and-corn-salad-i/,salad,304.2,49.5,11.7,8.5
Indian Dahl with Spinach,https://www.allrecipes.com/recipe/21459/indian-dahl-with-spinach/,world-cuisine,362.0,44.9,21.0,13.4
Chicken Cacciatore in a Slow Cooker,https://www.allrecipes.com/recipe/246305/chicken-cacciatore-in-a-slow-cooker/,world-cuisine,364.1,42.0,30.8,8.5
Home-Style Vegetable Beef Soup,https://www.allrecipes.com/recipe/26427/home-style-vegetable-beef-soup/,soups-stews-and-chili,268.4,39.2,13.3,6.9
Spicy Pumpkin Chili,https://www.allrecipes.com/recipe/212397/spicy-pumpkin-chili/,soups-stews-and-chili,271.4,36.0,18.0,6.4
Quick and Easy Chicken Spaghetti,https://www.allrecipes.com/recipe/26286/quick-and-easy-chicken-spaghetti/,main-dish,376.3,38.5,25.8,13.2
Applesauce Pork Chops,https://www.allrecipes.com/recipe/229254/applesauce-pork-chops/,main-dish,399.4,35.6,24.4,18.2
Creamy Smoked Salmon Pasta,https://www.allrecipes.com/recipe/24961/creamy-smoked-salmon-pasta/,seafood,397.5,49.9,20.0,13.7
Italian BBQ Pork Chops,https://www.allrecipes.com/recipe/218088/italian-bbq-pork-chops/,world-cuisine,269.8,30.0,22.4,6.6
Buffalo Chicken Chili,https://www.allrecipes.com/recipe/186699/buffalo-chicken-chili/,soups-stews-and-chili,301.4,30.0,28.3,8.6
Pinto Beans With Mexican-Style Seasonings,https://www.allrecipes.com/recipe/231037/pinto-beans-with-mexican-style-seasonings/,side-dish,267.0,40.9,16.4,5.2
Crunchy Eggplant Parmesan,https://www.allrecipes.com/recipe/223358/crunchy-eggplant-parmesan/,world-cuisine,350.4,35.0,15.8,18.8
Vegan Broccoli Soup,https://www.allrecipes.com/recipe/229241/vegan-broccoli-soup/,soups-stews-and-chili,353.4,44.6,12.8,16.0
Tonya's Terrific Sloppy Joes,https://www.allrecipes.com/recipe/229487/tonyas-terrific-sloppy-joes/,main-dish,361.5,31.2,23.7,15.3
Pasta Primavera with Smoked Gouda,https://www.allrecipes.com/recipe/213108/pasta-primavera-with-smoked-gouda/,pasta-and-noodles,320.0,54.1,14.0,7.7
Quesadillas II,https://www.allrecipes.com/recipe/16953/quesadillas-ii/,world-cuisine,381.4,42.1,21.7,8.4
Slow Cooker Corn Chowder,https://www.allrecipes.com/recipe/15355/slow-cooker-corn-chowder/,soups-stews-and-chili,266.2,37.8,11.2,8.8
